ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,place_au_code,Documented Place Name Widget,Creation Place Widget,Transactions
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5143,record identifiers,https://data.rubenianum.be//ark:/86530/11223c24-86e3-590a-a9cd-57c926545763,object identifier,Handschriften,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:5138,Verwijzing naar Grossmann object,,53ee5291-159f-57ab-b0ed-83a11472f1e4,"[{""resourceId"": ""53ee5291-159f-57ab-b0ed-83a11472f1e4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cf285a0c-ed95-4c35-8474-8ae3508b9760"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""2768356f-fbc1-4bc8-982c-1f381a92820a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7a1b54f6-516c-4362-b390-71aae01427d6"", ""inverseOntologyProperty"": """"}]"
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Adriaen Key 1544? - 1589. Denucé, p. 13 Inv. Peter du Moulin 3 March 1588; p. 51 Inv. Steven Wils, 6 July 1626; p. 73 Rubens; p. 99 Inv. Herman de Neyt; p. 226 Jacques Knudden, 14-29 Dec. 1660; p. 272 Maria Cock, 10 Nov. 1678; p. 286 Erasmus Quellinus, d. 7 Nov. 1678 [...]</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Key, Adriaen Thomasz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_Keywords,2,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neyt, Herman de",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000005143,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>7399</priref>
			<number>AFG_143_022</number>
			<part_of_reference>AFG_143_017</part_of_reference>
			<content>Adriaen Key 1544? - 1589. Denuc&#233;, p. 13 Inv. Peter du Moulin 3 March 1588; p. 51 Inv. Steven Wils, 6 July 1626; p. 73 Rubens; p. 99 Inv. Herman de Neyt; p. 226 Jacques Knudden, 14-29 Dec. 1660; p. 272 Maria Cock, 10 Nov. 1678; p. 286 Erasmus Quellinus, d. 7 Nov. 1678 [...]</content>
			<object.object_number>AFG_143</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Iconography</part_of.title>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>Referentie</editorial_form>
			<object.title>Bruegel, Gl&#252;ck 50, Adulteress</object.title>
			<keyword>Key, Adriaen Thomasz.</keyword>
			<keyword>Rubens, Peter Paul</keyword>
			<keyword>Neyt, Herman de</keyword>
			<keyword>Denuc&#233;, Jan</keyword>
			<object.creator/>
			<input.date>2014-08-14</input.date>
			<edit.date>2014-08-14</edit.date>
			<edit.date>2014-08-14</edit.date>
			<edit.date>2014-08-14</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.name>Centrum</edit.name>
			<edit.time>13:18:23</edit.time>
			<edit.time>10:50:21</edit.time>
			<edit.time>10:49:43</edit.time>
			<input.time>10:48:40</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:5143,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:5143/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8ef38357-e40b-5a95-b97c-6ed2dfa028f9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""852fb362-3654-4a64-aba0-8eca0c45e3ba"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
11223c24-86e3-590a-a9cd-57c926545763,tg:rubgr:5143,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFG_143_022,repository numbers,,,,,,,,,,,,,,,,,
