ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,resource_model,ire.isaar.uuid,source_ire_type,Connected Subject Role,au_code,g_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,matched on,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,place_au_code,Documented Place Name Widget,Creation Place Widget,Transactions
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubdoc:520,record identifiers,https://data.rubenianum.be//ark:/86530/7bd6dac2-2460-52ef-823e-e130a107456b,object identifier,Documentatiemappen,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e72be428-e20e-44c4-afdd-37eb22808b57"", ""ontologyProperty"": """", ""resourceXresourceId"": ""83fa8b08-b214-4e8f-91aa-21443a05c88e"", ""inverseOntologyProperty"": """"}]"
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Copyright Undetermined,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zonder datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/doc/V17/RUBENSPP/C/083,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubdoc:520,brocade id,False,,,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubdoc:520/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""38743eea-0d50-5f0a-b76b-1ecca7c41cd9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8281866d-f9d1-4be6-bef6-9ef162f5ac84"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YC_083 - LB 178/9 (Ludwig Burchard),repository numbers,,,,,,,,,,,,,,,,,
7bd6dac2-2460-52ef-823e-e130a107456b,tg:rubdoc:520,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YC_083 - LB 178/9 (Ludwig Burchard),titles proper,Dutch (language),,,,,,,,,,,,,,
